Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D2 - CSV - Sexo feminino de 9 a 12 anos de idade
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;12A-POP;12A-DOS;12A-COB;TOT-POP-09-12;TOT-DOS-09-12;TOT-COB-09-12
AC;ALTO ACRE;120070 - XAPURI;98;126;127,92;199;136;68,34;202;121;59,90;100;55;54,73;600;438;73,00;
AC;ALTO ACRE;120010 - BRASILEIA;123;47;38,06;254;132;51,97;262;158;60,31;132;66;50,00;771;403;52,24;
AC;ALTO ACRE;120005 - ASSIS BRASIL;38;1;2,63;75;29;38,67;76;23;30,26;37;13;34,67;226;66;29,14;
AC;ALTO ACRE;120025 - EPITACIOLANDIA;83;17;20,36;174;33;18,97;181;64;35,36;93;42;45,16;531;156;29,35;
AC;ALTO ACRE;;343;191;55,60;702;330;47,01;721;366;50,76;363;176;48,48;2129;1063;49,92;
AC;BAIXO ACRE PURUS;120013 - BUJARI;49;13;26,53;100;17;17,00;102;32;31,37;51;12;23,53;302;74;24,50;
AC;BAIXO ACRE PURUS;120032 - JORDAO;56;32;57,14;110;42;38,18;107;58;54,21;51;26;50,49;324;158;48,69;
AC;BAIXO ACRE PURUS;120017 - CAPIXABA;61;14;22,95;127;42;33,07;133;73;54,89;67;17;25,37;388;146;37,63;
AC;BAIXO ACRE PURUS;120001 - ACRELANDIA;77;8;10,39;158;24;15,19;163;34;20,86;82;25;30,49;480;91;18,96;
AC;BAIXO ACRE PURUS;120040 - RIO BRANCO;1719;545;31,70;3546;1174;33,11;3666;1372;37,42;1871;470;25,11;10803;3561;32,96;
AC;BAIXO ACRE PURUS;120080 - PORTO ACRE;92;23;25,00;188;58;30,85;193;91;47,15;97;29;29,90;570;201;35,26;
AC;BAIXO ACRE PURUS;120034 - MANOEL URBANO;52;25;47,62;106;61;57,55;108;64;59,26;53;37;69,16;320;187;58,44;
AC;BAIXO ACRE PURUS;120050 - SENA MADUREIRA;230;66;28,70;472;150;31,78;483;218;45,13;244;122;50,00;1429;556;38,91;
AC;BAIXO ACRE PURUS;120045 - SENADOR GUIOMARD;116;16;13,73;238;36;15,13;243;55;22,63;122;62;50,61;720;169;23,47;
AC;BAIXO ACRE PURUS;120038 - PLACIDO DE CASTRO;107;64;59,53;225;89;39,56;236;203;86,02;120;154;128,33;688;510;74,07;
AC;BAIXO ACRE PURUS;120043 - SANTA ROSA DO PURUS;38;34;89,47;73;43;58,90;71;46;64,79;33;21;62,69;215;144;66,82;
AC;BAIXO ACRE PURUS;;2599;840;32,32;5343;1736;32,49;5505;2246;40,80;2793;975;34,90;16240;5797;35,69;
AC;JURUÁ TARAUACA ENVIRA;120030 - FEIJO;227;56;24,67;454;121;26,65;454;142;31,28;224;91;40,63;1359;410;30,17;
AC;JURUÁ TARAUACA ENVIRA;120060 - TARAUACA;258;79;30,62;511;107;20,94;504;229;45,44;247;176;71,11;1520;591;38,87;
AC;JURUÁ TARAUACA ENVIRA;120033 - MANCIO LIMA;102;20;19,51;209;42;20,10;215;61;28,37;108;31;28,70;634;154;24,27;
AC;JURUÁ TARAUACA ENVIRA;120039 - PORTO WALTER;82;29;35,37;164;56;34,15;165;72;43,64;80;63;78,26;491;220;44,76;
AC;JURUÁ TARAUACA ENVIRA;120020 - CRUZEIRO DO SUL;492;122;24,80;1012;403;39,82;1043;506;48,51;528;344;65,15;3075;1375;44,72;
AC;JURUÁ TARAUACA ENVIRA;120042 - RODRIGUES ALVES;115;115;100,00;230;214;93,04;230;219;95,22;112;110;97,78;687;658;95,71;
AC;JURUÁ TARAUACA ENVIRA;120035 - MARECHAL THAUMATURGO;115;270;233,77;228;323;141,67;225;296;131,56;110;118;107,27;678;1007;148,42;
AC;JURUÁ TARAUACA ENVIRA;;1392;691;49,64;2808;1266;45,09;2836;1525;53,77;1410;933;66,15;8446;4415;52,27;
AC;;;4334;1722;39,73;8853;3332;37,64;9062;4137;45,65;4567;2084;45,63;26816;11275;42,05;
AL;I MICRO REGIAO DE SAUDE;270690 - PILAR;173;59;34,10;359;127;35,38;375;152;40,53;191;129;67,54;1098;467;42,53;
AL;I MICRO REGIAO DE SAUDE;270430 - MACEIO;4024;2261;56,18;8305;4293;51,69;8599;5305;61,69;4395;2705;61,54;25324;14564;57,51;
AL;I MICRO REGIAO DE SAUDE;270890 - SATUBA;71;5;6,99;149;62;41,61;155;83;53,55;79;82;103,14;455;232;50,99;
AL;I MICRO REGIAO DE SAUDE;270040 - ATALAIA;256;222;86,55;524;390;74,43;536;289;53,92;269;207;76,81;1586;1108;69,86;
AL;I MICRO REGIAO DE SAUDE;270520 - MESSIAS;98;38;38,78;204;90;44,12;214;89;41,59;108;32;29,49;624;249;39,87;
AL;I MICRO REGIAO DE SAUDE;270770 - RIO LARGO;333;13;3,90;693;15;2,16;722;158;21,88;369;545;147,50;2118;731;34,51;
AL;I MICRO REGIAO DE SAUDE;270644 - PARIPUEIRA;66;16;24,06;137;30;21,90;141;44;31,21;71;20;27,97;416;110;26,44;
AL;I MICRO REGIAO DE SAUDE;270220 - COQUEIRO SECO;26;35;134,62;54;54;100,00;56;59;105,36;29;23;79,31;165;171;103,64;
AL;I MICRO REGIAO DE SAUDE;270470 - MARECHAL DEODORO;238;105;44,03;498;137;27,51;523;214;40,92;268;128;47,76;1527;584;38,23;
AL;I MICRO REGIAO DE SAUDE;270060 - BARRA DE SAO MIGUEL;41;9;21,69;89;55;61,80;95;73;76,84;49;51;104,08;274;188;68,49;
AL;I MICRO REGIAO DE SAUDE;270790 - SANTA LUZIA DO NORTE;39;0;0,00;80;1;1,25;82;1;1,22;40;29;71,60;242;31;12,81;
AL;I MICRO REGIAO DE SAUDE;270050 - BARRA DE SANTO ANTONIO;83;4;4,82;174;3;1,72;183;17;9,29;93;24;25,67;533;48;9,00;
AL;I MICRO REGIAO DE SAUDE;;5452;2767;50,75;11266;5257;46,66;11681;6484;55,51;5965;3975;66,64;34364;18483;53,79;
AL;V MICRO REGIAO DE SAUDE;270920 - TRAIPU;163;29;17,74;342;100;29,24;359;126;35,10;183;98;53,55;1047;353;33,70;
AL;V MICRO REGIAO DE SAUDE;270235 - CRAIBAS;127;39;30,71;269;76;28,25;285;123;43,16;147;38;25,85;828;276;33,33;
AL;V MICRO REGIAO DE SAUDE;270030 - ARAPIRACA;1027;435;42,34;2131;919;43,13;2215;1218;54,99;1134;551;48,57;6508;3123;47,99;
AL;V MICRO REGIAO DE SAUDE;270910 - TAQUARANA;96;28;29,02;199;65;32,66;206;80;38,83;104;25;23,92;606;198;32,67;
AL;V MICRO REGIAO DE SAUDE;270370 - JARAMATAIA;28;22;78,57;58;47;81,03;59;36;61,02;30;13;43,33;175;118;67,43;
AL;V MICRO REGIAO DE SAUDE;270150 - CAMPO GRANDE;52;14;26,92;110;30;27,27;116;34;29,31;59;38;63,87;337;116;34,37;
AL;V MICRO REGIAO DE SAUDE;270260 - FEIRA GRANDE;105;98;92,89;222;160;72,07;234;194;82,91;121;41;33,88;682;493;72,23;
AL;V MICRO REGIAO DE SAUDE;270200 - COITE DO NOIA;55;30;54,05;112;22;19,64;112;21;18,75;56;8;14,16;336;81;24,11;
AL;V MICRO REGIAO DE SAUDE;270880 - SAO SEBASTIAO;177;42;23,73;365;225;61,64;377;49;13,00;191;122;63,87;1110;438;39,46;
AL;V MICRO REGIAO DE SAUDE;270410 - LAGOA DA CANOA;95;52;54,45;196;91;46,43;199;106;53,27;100;36;35,82;591;285;48,22;
AL;V MICRO REGIAO DE SAUDE;270290 - GIRAU DO PONCIANO;217;69;31,72;445;220;49,44;454;301;66,30;228;268;117,54;1344;858;63,82;
AL;V MICRO REGIAO DE SAUDE;270420 - LIMOEIRO DE ANADIA;140;24;17,14;286;82;28,67;292;49;16,78;148;29;19,53;866;184;21,23;
AL;V MICRO REGIAO DE SAUDE;270590 - OLHO D'AGUA GRANDE;29;4;13,79;62;15;24,19;65;10;15,38;33;3;8,96;189;32;16,89;
AL;V MICRO REGIAO DE SAUDE;;2314;886;38,28;4797;2052;42,78;4973;2347;47,19;2537;1270;50,05;14622;6555;44,83;
AL;X MICRO REGIAO DE SAUDE;270170 - CAPELA;98;45;45,69;201;124;61,69;206;143;69,42;103;51;49,51;608;363;59,65;
AL;X MICRO REGIAO DE SAUDE;270940 - VICOSA;132;110;83,33;276;163;59,06;288;192;66,67;148;99;66,89;844;564;66,82;
AL;X MICRO REGIAO DE SAUDE;270700 - PINDOBA;15;10;64,52;30;15;50,00;28;23;82,14;13;8;59,26;87;56;64,37;
AL;X MICRO REGIAO DE SAUDE;270130 - CAJUEIRO;117;174;148,72;242;185;76,45;250;273;109,20;126;159;125,69;735;791;107,55;
AL;X MICRO REGIAO DE SAUDE;270190 - CHA PRETA;42;12;28,57;84;31;36,90;85;34;40,00;42;8;18,82;253;85;33,53;
AL;X MICRO REGIAO DE SAUDE;270660 - PAULO JACINTO;37;14;37,84;75;69;92,00;75;72;96,00;37;39;104,00;224;194;86,41;
AL;X MICRO REGIAO DE SAUDE;;442;365;82,58;908;587;64,65;932;737;79,08;471;364;77,28;2753;2053;74,57;
AL;II MICRO REGIAO DE SAUDE;270350 - JACUIPE;41;0;0,00;89;0;0,00;96;0;0,00;50;3;6,00;276;3;1,09;
AL;II MICRO REGIAO DE SAUDE;270450 - MARAGOGI;166;6;3,61;341;50;14,66;350;45;12,86;177;59;33,24;1034;160;15,47;
AL;II MICRO REGIAO DE SAUDE;270360 - JAPARATINGA;46;4;8,60;90;11;12,22;85;15;17,65;41;32;78,05;262;62;23,62;
AL;II MICRO REGIAO DE SAUDE;270730 - PORTO CALVO;150;32;21,26;310;48;15,48;320;92;28,75;162;45;27,69;943;217;23,01;
AL;II MICRO REGIAO DE SAUDE;270740 - PORTO DE PEDRAS;45;4;8,89;90;29;32,22;91;25;27,47;45;13;28,89;271;71;26,20;
AL;II MICRO REGIAO DE SAUDE;270650 - PASSO DE CAMARAGIBE;88;55;62,15;177;102;57,63;176;102;57,95;86;62;71,68;528;321;60,80;
AL;II MICRO REGIAO DE SAUDE;270510 - MATRIZ DE CAMARAGIBE;140;20;14,23;291;49;16,84;300;94;31,33;152;53;34,87;883;216;24,45;
AL;II MICRO REGIAO DE SAUDE;270850 - SAO LUIS DO QUITUNDE;203;27;13,27;415;74;17,83;424;105;24,76;212;54;25,41;1255;260;20,72;
AL;II MICRO REGIAO DE SAUDE;270870 - SAO MIGUEL DOS MILAGRES;35;4;11,43;69;4;5,80;68;6;8,82;34;2;5,88;206;16;7,77;
AL;II MICRO REGIAO DE SAUDE;;916;152;16,58;1872;367;19,60;1910;484;25,34;961;323;33,61;5659;1326;23,43;
AL;IV MICRO REGIAO DE SAUDE;270670 - PENEDO;299;84;28,05;632;194;30,70;671;257;38,30;345;103;29,81;1948;638;32,75;
AL;IV MICRO REGIAO DE SAUDE;270820 - SAO BRAS;36;28;76,71;75;43;57,33;77;54;70,13;38;30;77,92;227;155;68,28;
AL;IV MICRO REGIAO DE SAUDE;270680 - PIACABUCU;92;19;20,54;197;52;26,40;213;40;18,78;110;21;19,09;612;132;21,55;
AL;IV MICRO REGIAO DE SAUDE;270320 - IGREJA NOVA;118;40;33,90;243;85;34,98;250;144;57,60;127;101;79,22;738;370;50,10;
AL;IV MICRO REGIAO DE SAUDE;270750 - PORTO REAL DO COLEGIO;97;41;42,27;202;62;30,69;211;81;38,39;108;19;17,51;618;203;32,82;
AL;IV MICRO REGIAO DE SAUDE;;643;212;32,94;1349;436;32,32;1422;576;40,51;730;274;37,53;4144;1498;36,14;
AL;IX MICRO REGIAO DE SAUDE;270080 - BELEM;22;0;0,00;47;0;0,00;50;32;64,00;25;44;172,55;144;76;52,60;
AL;IX MICRO REGIAO DE SAUDE;270310 - IGACI;123;54;43,90;252;155;61,51;258;150;58,14;131;88;66,92;764;447;58,47;
AL;IX MICRO REGIAO DE SAUDE;270480 - MARIBONDO;68;23;33,58;141;59;41,84;146;56;38,36;73;31;42,18;429;169;39,39;
AL;IX MICRO REGIAO DE SAUDE;270120 - CACIMBINHAS;51;7;13,59;109;27;24,77;117;17;14,53;60;11;18,18;338;62;18,34;
AL;IX MICRO REGIAO DE SAUDE;270760 - QUEBRANGULO;55;30;54,05;115;50;43,48;118;49;41,53;61;29;47,54;349;158;45,21;
AL;IX MICRO REGIAO DE SAUDE;270490 - MAR VERMELHO;17;8;47,06;34;13;38,24;34;17;50,00;17;0;0,00;102;38;37,25;
AL;IX MICRO REGIAO DE SAUDE;270440 - MAJOR ISIDORO;102;26;25,37;212;56;26,42;220;79;35,91;112;32;28,57;646;193;29,85;
AL;IX MICRO REGIAO DE SAUDE;270900 - TANQUE D'ARCA;29;7;24,14;60;16;26,67;62;28;45,16;32;14;43,75;183;65;35,52;
AL;IX MICRO REGIAO DE SAUDE;270530 - MINADOR DO NEGRAO;24;0;0,00;50;27;54,00;52;19;36,54;27;10;37,04;153;56;36,60;
AL;IX MICRO REGIAO DE SAUDE;270255 - ESTRELA DE ALAGOAS;86;62;71,68;181;113;62,43;188;112;59,57;96;23;23,83;552;310;56,16;
AL;IX MICRO REGIAO DE SAUDE;270630 - PALMEIRA DOS INDIOS;313;126;40,19;645;102;15,81;664;199;29,97;337;103;30,52;1960;530;27,04;
AL;IX MICRO REGIAO DE SAUDE;;893;343;38,41;1846;618;33,48;1909;758;39,71;974;385;39,53;5622;2104;37,42;
AL;VI MICRO REGIAO DE SAUDE;270070 - BATALHA;92;43;46,74;186;70;37,63;188;84;44,68;94;31;32,80;560;228;40,68;
AL;VI MICRO REGIAO DE SAUDE;270620 - PALESTINA;34;11;31,88;75;41;54,67;81;56;69,14;42;13;30,59;233;121;51,93;
AL;VI MICRO REGIAO DE SAUDE;270090 - BELO MONTE;39;8;20,51;82;20;24,39;86;32;37,21;44;16;36,36;251;76;30,28;
AL;VI MICRO REGIAO DE SAUDE;270540 - MONTEIROPOLIS;44;19;42,70;94;57;60,64;98;58;59,18;50;17;34,00;286;151;52,71;
AL;VI MICRO REGIAO DE SAUDE;270640 - PAO DE ACUCAR;119;287;240,17;266;229;86,09;297;225;75,76;158;100;63,09;841;841;100,00;
AL;VI MICRO REGIAO DE SAUDE;270340 - JACARE DOS HOMENS;31;16;51,61;62;20;32,26;62;35;56,45;30;6;19,67;185;77;41,51;
AL;VI MICRO REGIAO DE SAUDE;270840 - SAO JOSE DA TAPERA;201;73;36,32;425;184;43,29;451;179;39,69;231;91;39,39;1308;527;40,29;
AL;VI MICRO REGIAO DE SAUDE;;561;457;81,39;1190;621;52,18;1263;669;52,97;651;274;42,09;3665;2021;55,14;
AL;XI MICRO REGIAO DE SAUDE;270550 - MURICI;153;17;11,11;311;71;22,83;315;116;36,83;158;44;27,76;937;248;26,45;
AL;XI MICRO REGIAO DE SAUDE;270110 - BRANQUINHA;61;10;16,26;124;105;84,68;124;136;109,68;62;98;158,06;371;349;93,94;
AL;XI MICRO REGIAO DE SAUDE;270300 - IBATEGUARA;92;29;31,35;198;66;33,33;212;148;69,81;109;68;62,39;611;311;50,86;
AL;XI MICRO REGIAO DE SAUDE;270830 - SAO JOSE DA LAJE;131;52;39,54;274;77;28,10;286;87;30,42;145;43;29,55;837;259;30,94;
AL;XI MICRO REGIAO DE SAUDE;270810 - SANTANA DO MUNDAU;58;11;18,80;124;57;45,97;133;67;50,38;68;47;68,61;384;182;47,40;
AL;XI MICRO REGIAO DE SAUDE;270930 - UNIAO DOS PALMARES;347;161;46,40;718;324;45,13;743;404;54,37;377;190;50,33;2185;1079;49,37;
AL;XI MICRO REGIAO DE SAUDE;;844;280;33,18;1749;700;40,02;1813;958;52,84;921;490;53,20;5327;2428;45,58;
AL;III MICRO REGIAO DE SAUDE;270020 - ANADIA;86;18;20,93;176;35;19,89;180;56;31,11;92;23;25,00;534;132;24,72;
AL;III MICRO REGIAO DE SAUDE;270780 - ROTEIRO;42;20;47,62;86;17;19,77;87;22;25,29;43;28;65,12;258;87;33,72;
AL;III MICRO REGIAO DE SAUDE;270100 - BOCA DA MATA;139;52;37,41;287;137;47,74;297;174;58,59;151;44;29,14;874;407;46,57;
AL;III MICRO REGIAO DE SAUDE;270140 - CAMPO ALEGRE;292;117;40,07;598;149;24,92;613;177;28,87;310;3;0,97;1813;446;24,60;
AL;III MICRO REGIAO DE SAUDE;270375 - JEQUIA DA PRAIA;65;14;21,37;134;34;25,37;136;45;33,09;68;39;56,93;404;132;32,67;
AL;III MICRO REGIAO DE SAUDE;270860 - SAO MIGUEL DOS CAMPOS;290;63;21,72;581;139;23,92;581;121;20,83;290;74;25,52;1742;397;22,79;
AL;III MICRO REGIAO DE SAUDE;;914;284;31,06;1862;511;27,44;1894;595;31,41;954;211;22,11;5625;1601;28,46;
AL;VII MICRO REGIAO DE SAUDE;270330 - INHAPI;112;44;39,29;231;95;41,13;238;85;35,71;119;45;37,66;700;269;38,40;
AL;VII MICRO REGIAO DE SAUDE;270710 - PIRANHAS;143;62;43,36;299;171;57,19;312;213;68,27;159;188;117,87;913;634;69,40;
AL;VII MICRO REGIAO DE SAUDE;270642 - PARICONHA;59;18;30,51;120;40;33,33;121;55;45,45;60;7;11,67;360;120;33,33;
AL;VII MICRO REGIAO DE SAUDE;270010 - AGUA BRANCA;111;5;4,50;230;10;4,35;238;29;12,18;121;24;19,83;700;68;9,71;
AL;VII MICRO REGIAO DE SAUDE;270500 - MATA GRANDE;145;55;37,80;302;94;31,13;314;129;41,08;160;26;16,25;921;304;32,99;
AL;VII MICRO REGIAO DE SAUDE;270240 - DELMIRO GOUVEIA;241;46;19,05;495;81;16,36;509;92;18,07;257;74;28,74;1503;293;19,49;
AL;VII MICRO REGIAO DE SAUDE;270580 - OLHO D'AGUA DO CASADO;48;0;0,00;100;37;37,00;104;44;42,31;53;48;90,57;305;129;42,23;
AL;VII MICRO REGIAO DE SAUDE;;860;230;26,73;1777;528;29,71;1836;647;35,24;930;412;44,28;5404;1817;33,62;
AL;XII MICRO REGIAO DE SAUDE;270390 - JUNDIA;23;18;76,60;51;31;60,78;56;38;67,86;29;15;51,72;159;102;63,95;
AL;XII MICRO REGIAO DE SAUDE;270135 - CAMPESTRE;40;15;37,50;86;23;26,74;92;31;33,70;48;8;16,67;266;77;28,95;
AL;XII MICRO REGIAO DE SAUDE;270280 - FLEXEIRAS;73;8;10,88;150;17;11,33;152;36;23,68;76;43;56,21;452;104;23,01;
AL;XII MICRO REGIAO DE SAUDE;270560 - NOVO LINO;68;2;2,94;140;3;2,14;146;21;14,38;74;102;137,84;428;128;29,91;
AL;XII MICRO REGIAO DE SAUDE;270380 - JOAQUIM GOMES;141;33;23,40;282;58;20,57;281;57;20,28;139;34;24,46;843;182;21,59;
AL;XII MICRO REGIAO DE SAUDE;270210 - COLONIA LEOPOLDINA;119;34;28,45;240;50;20,83;240;67;27,92;119;40;33,47;719;191;26,56;
AL;XII MICRO REGIAO DE SAUDE;;465;110;23,63;949;182;19,18;967;250;25,85;486;242;49,79;2867;784;27,34;
AL;VIII MICRO REGIAO DE SAUDE;270160 - CANAPI;109;16;14,61;223;36;16,14;228;63;27,63;114;27;23,68;674;142;21,05;
AL;VIII MICRO REGIAO DE SAUDE;270600 - OLIVENCA;66;26;39,10;138;67;48,55;145;106;73,10;73;22;29,93;423;221;52,25;
AL;VIII MICRO REGIAO DE SAUDE;270180 - CARNEIROS;54;2;3,70;109;19;17,43;110;35;31,82;54;18;33,03;327;74;22,60;
AL;VIII MICRO REGIAO DE SAUDE;270460 - MARAVILHA;53;60;112,15;112;79;70,54;119;59;49,58;60;18;29,75;345;216;62,61;
AL;VIII MICRO REGIAO DE SAUDE;270610 - OURO BRANCO;61;85;139,34;126;139;110,32;131;136;103,82;66;0;0,00;384;360;93,63;
AL;VIII MICRO REGIAO DE SAUDE;270250 - DOIS RIACHOS;55;19;34,23;118;41;34,75;126;29;23,02;65;69;105,34;365;158;43,29;
AL;VIII MICRO REGIAO DE SAUDE;270800 - SANTANA DO IPANEMA;257;53;20,58;525;167;31,81;535;201;37,57;268;87;32,40;1586;508;32,03;
AL;VIII MICRO REGIAO DE SAUDE;270720 - POCO DAS TRINCHEIRAS;83;26;31,33;170;49;28,82;174;65;37,36;88;16;18,18;515;156;30,29;
AL;VIII MICRO REGIAO DE SAUDE;270895 - SENADOR RUI PALMEIRA;85;23;27,06;175;62;35,43;181;68;37,57;91;71;77,60;532;224;42,07;
AL;VIII MICRO REGIAO DE SAUDE;270570 - OLHO D'AGUA DAS FLORES;113;57;50,22;239;117;48,95;253;113;44,66;130;42;32,18;736;329;44,70;
AL;VIII MICRO REGIAO DE SAUDE;;939;367;39,08;1935;776;40,10;2002;875;43,71;1013;370;36,53;5889;2388;40,55;
AL;XIII MICRO REGIAO DE SAUDE;270230 - CORURIPE;276;124;44,85;561;243;43,32;569;306;53,78;287;76;26,48;1693;749;44,23;
AL;XIII MICRO REGIAO DE SAUDE;270400 - JUNQUEIRO;128;60;46,88;261;167;63,98;264;196;74,24;133;45;33,71;786;468;59,50;
AL;XIII MICRO REGIAO DE SAUDE;270270 - FELIZ DESERTO;23;10;42,55;49;3;6,12;51;15;29,41;26;7;26,42;150;35;23,33;
AL;XIII MICRO REGIAO DE SAUDE;270915 - TEOTONIO VILELA;247;53;21,46;507;131;25,84;521;189;36,28;263;59;22,43;1538;432;28,09;
AL;XIII MICRO REGIAO DE SAUDE;;675;247;36,59;1378;544;39,48;1405;706;50,25;710;187;26,34;4168;1684;40,40;
AL;;;15921;6700;42,08;32878;13179;40,08;34007;16086;47,30;17304;8777;50,72;100111;44742;44,69;
AM;RIO JURUA;130150 - ENVIRA;117;124;105,98;242;176;72,73;253;189;74,70;128;127;99,22;740;616;83,24;
AM;RIO JURUA;130165 - GUAJARA;102;27;26,47;207;70;33,82;210;78;37,14;104;30;28,71;623;205;32,88;
AM;RIO JURUA;130180 - IPIXUNA;176;0;0,00;339;1;0,29;322;28;8,70;152;21;13,77;990;50;5,05;
AM;RIO JURUA;130100 - CARAUARI;185;4;2,16;377;9;2,39;385;13;3,38;192;4;2,08;1140;30;2,63;
AM;RIO JURUA;130140 - EIRUNEPE;210;85;40,38;417;224;53,72;411;200;48,66;203;100;49,26;1241;609;49,05;
AM;RIO JURUA;130195 - ITAMARATI;56;0;0,00;115;0;0,00;118;0;0,00;58;0;0,00;348;0;0,00;
AM;RIO JURUA;;848;240;28,30;1697;480;28,29;1699;508;29,90;839;282;33,61;5083;1510;29,71;
AM;RIO PURUS;130240 - LABREA;251;17;6,77;501;33;6,59;500;33;6,60;247;27;10,93;1499;110;7,34;
AM;RIO PURUS;130350 - PAUINI;128;172;134,38;256;152;59,38;256;146;57,03;126;94;74,60;766;564;73,63;
AM;RIO PURUS;130410 - TAPAUA;118;6;5,06;231;24;10,39;224;23;10,27;109;17;15,53;683;70;10,25;
AM;RIO PURUS;130090 - CANUTAMA;78;40;51,28;159;86;54,09;161;87;54,04;80;40;49,69;478;253;52,87;
AM;RIO PURUS;130070 - BOCA DO ACRE;188;72;38,20;383;86;22,45;389;75;19,28;195;15;7,67;1156;248;21,45;
AM;RIO PURUS;;764;307;40,18;1530;381;24,90;1530;364;23,79;758;193;25,44;4582;1245;27,17;
AM;TRIANGULO;130420 - TEFE;406;323;79,56;806;492;61,04;798;542;67,92;392;303;77,30;2402;1660;69,11;
AM;TRIANGULO;130220 - JURUA;83;7;8,38;166;15;9,04;164;62;37,80;80;29;36,02;494;113;22,87;
AM;TRIANGULO;130280 - MARAA;124;18;14,52;248;52;20,97;247;58;23,48;121;70;57,61;740;198;26,74;
AM;TRIANGULO;130210 - JAPURA;48;15;31,25;97;30;30,93;100;25;25,00;50;7;14,00;295;77;26,10;
AM;TRIANGULO;130426 - UARINI;82;5;6,06;158;19;12,03;149;19;12,75;71;3;4,23;460;46;9,99;
AM;TRIANGULO;130002 - ALVARAES;106;21;19,81;206;16;7,77;200;23;11,50;96;12;12,44;608;72;11,83;
AM;TRIANGULO;;850;389;45,76;1681;624;37,12;1658;729;43,97;811;424;52,25;5000;2166;43,32;
AM;RIO MADEIRA;130014 - APUI;101;19;18,72;210;30;14,29;219;68;31,05;111;24;21,62;641;141;21,98;
AM;RIO MADEIRA;130080 - BORBA;234;445;190,17;469;367;78,25;470;181;38,51;233;20;8,57;1406;1013;72,02;
AM;RIO MADEIRA;130170 - HUMAITA;281;124;44,13;575;228;39,65;588;226;38,44;295;91;30,80;1739;669;38,46;
AM;RIO MADEIRA;130270 - MANICORE;307;115;37,40;627;258;41,15;639;223;34,90;321;68;21,18;1894;664;35,05;
AM;RIO MADEIRA;130330 - NOVO ARIPUANA;139;12;8,60;279;41;14,70;278;64;23,02;137;61;44,36;834;178;21,34;
AM;RIO MADEIRA;;1063;715;67,23;2160;924;42,78;2194;762;34,73;1098;264;24,03;6516;2665;40,90;
AM;ALTO SOLIMOES;130230 - JUTAI;128;9;7,03;248;16;6,45;240;24;10,00;116;22;18,97;732;71;9,70;
AM;ALTO SOLIMOES;130006 - AMATURA;60;52;85,95;127;7;5,51;134;8;5,97;68;2;2,92;390;69;17,69;
AM;ALTO SOLIMOES;130160 - FONTE BOA;150;1;0,67;299;1;0,33;297;13;4,38;147;4;2,71;893;19;2,13;
AM;ALTO SOLIMOES;130406 - TABATINGA;345;548;158,61;673;411;61,07;652;338;51,84;318;22;6,91;1989;1319;66,31;
AM;ALTO SOLIMOES;130423 - TONANTINS;117;51;43,59;239;75;31,38;245;62;25,31;123;39;31,58;724;227;31,33;
AM;ALTO SOLIMOES;130020 - ATALAIA DO NORTE;99;20;20,10;194;39;20,10;189;52;27,51;93;41;44,09;575;152;26,41;
AM;ALTO SOLIMOES;130060 - BENJAMIN CONSTANT;216;170;78,52;430;196;45,58;427;186;43,56;213;70;32,86;1286;622;48,35;
AM;ALTO SOLIMOES;130370 - SANTO ANTONIO DO ICA;172;45;26,09;340;100;29,41;334;167;50,00;164;182;110,98;1010;494;48,89;
AM;ALTO SOLIMOES;130390 - SAO PAULO DE OLIVENCA;218;156;71,40;435;192;44,14;433;86;19,86;213;43;20,14;1300;477;36,69;
AM;ALTO SOLIMOES;;1508;1052;69,76;2985;1037;34,74;2951;936;31,72;1457;425;29,16;8901;3450;38,76;
AM;BAIXO SOLIMOES;130290 - MAUES;359;320;89,01;724;345;47,65;732;403;55,05;363;193;53,17;2178;1261;57,88;
AM;BAIXO SOLIMOES;130300 - NHAMUNDA;123;106;85,83;246;183;74,39;243;176;72,43;119;27;22,59;732;492;67,21;
AM;BAIXO SOLIMOES;130340 - PARINTINS;668;558;83,47;1363;504;36,98;1389;490;35,28;696;65;9,34;4116;1617;39,28;
AM;BAIXO SOLIMOES;130050 - BARREIRINHA;207;64;30,92;410;137;33,41;406;134;33,00;198;41;20,65;1221;376;30,78;
AM;BAIXO SOLIMOES;130068 - BOA VISTA DO RAMOS;114;65;56,77;230;144;62,61;231;226;97,84;113;13;11,50;688;448;65,07;
AM;BAIXO SOLIMOES;;1473;1113;75,56;2973;1313;44,16;3001;1429;47,62;1490;339;22,75;8937;4194;46,93;
AM;MEDIO SOLIMOES;130400 - SILVES;54;80;146,79;108;100;92,59;107;117;109,35;52;19;36,19;322;316;98,14;
AM;MEDIO SOLIMOES;130430 - URUCARA;115;35;30,30;228;98;42,98;223;164;73,54;109;50;45,87;675;347;51,37;
AM;MEDIO SOLIMOES;130200 - ITAPIRANGA;50;16;32,00;100;33;33,00;100;24;24,00;50;6;11,88;300;79;26,29;
AM;MEDIO SOLIMOES;130190 - ITACOATIARA;537;527;98,14;1092;829;75,92;1111;948;85,33;557;477;85,64;3297;2781;84,35;
